dataset,paper_name,paper_group,kernel,variant,algorithm,status,error,n_samples,n_features,n_classes,binary_problems,validation_metric,validation_score,selection_objective,selection_utility,minority_label,priority_strategy,insertion_strategy,best_C,best_gamma,best_degree,best_coef0,selected_total,accepted_candidates,rejected_candidates,support_vectors,batch_attempts,model_fits,initial_core_repairs,fit_time_seconds,elapsed_tuning_seconds,accuracy_train,balanced_accuracy_train,precision_macro_train,recall_macro_train,f1_macro_train,minority_f1_train,accuracy_test,balanced_accuracy_test,precision_macro_test,recall_macro_test,f1_macro_test,minority_f1_test,objective_test
fruitfly,fruitfly,experiment_1,linear,author_original,Author original BSVM,ok,,60,4,2,1,minority_f1,0.4,paper,0.4,N,author_original,sequential,10.0,scale,3,0.0,28,10,10,8,20,21,0,0.08453480000025593,0.09450479999941308,0.8421052631578947,0.8347826086956522,0.8347826086956522,0.8347826086956522,0.8347826086956522,0.8,0.4166666666666667,0.41428571428571426,0.41666666666666663,0.41428571428571426,0.4125874125874126,0.36363636363636365,0.36363636363636365
fruitfly,fruitfly,experiment_1,linear,robust_hybrid,New 1 - robust_hybrid,ok,,60,4,2,1,minority_f1,0.5,paper,0.5,N,robust_hybrid,binary_tree,10.0,scale,3,0.0,29,11,9,6,24,25,0,2.2563365999994858,2.2609045000008337,0.7894736842105263,0.7681159420289855,0.7846153846153847,0.7681159420289855,0.7738095238095238,0.7142857142857143,0.5,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.4,0.4
fruitfly,fruitfly,experiment_1,linear,user_formula_1,New 2 - user_formula_1,ok,,60,4,2,1,minority_f1,0.6,paper,0.6,N,user_formula_1,binary_tree,10.0,scale,3,0.0,28,10,10,6,22,23,0,0.08716160000039963,0.091844200000196,0.7631578947368421,0.7579710144927536,0.7528409090909092,0.7579710144927536,0.7548387096774194,0.7096774193548387,0.5,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5,0.5,0.5
fruitfly,fruitfly,experiment_1,linear,user_formula_2,New 3 - user_formula_2,ok,,60,4,2,1,minority_f1,0.2857142857142857,paper,0.2857142857142857,N,user_formula_2,binary_tree,10.0,scale,3,0.0,28,10,10,5,24,25,0,0.07391920000009122,0.07747360000030312,0.7631578947368421,0.7231884057971014,0.775,0.7231884057971014,0.7317647058823529,0.64,0.5,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.4,0.4
