dataset,paper_name,paper_group,kernel,variant,algorithm,status,error,n_samples,n_features,n_classes,binary_problems,validation_metric,validation_score,selection_objective,selection_utility,minority_label,priority_strategy,insertion_strategy,best_C,best_gamma,best_degree,best_coef0,selected_total,accepted_candidates,rejected_candidates,support_vectors,batch_attempts,model_fits,initial_core_repairs,fit_time_seconds,elapsed_tuning_seconds,accuracy_train,balanced_accuracy_train,precision_macro_train,recall_macro_train,f1_macro_train,minority_f1_train,accuracy_test,balanced_accuracy_test,precision_macro_test,recall_macro_test,f1_macro_test,minority_f1_test,objective_test
cloud,cloud,experiment_2,linear,author_original,Author original BSVM,ok,,108,8,2,1,accuracy,0.7222222222222222,paper,0.7222222222222222,P,author_original,sequential,1.0,scale,3,0.0,27,3,41,6,26,37,1,0.0525618999963626,0.2896801000024425,0.7352941176470589,0.55,0.8636363636363636,0.55,0.5119617224880383,0.1818181818181818,0.6818181818181818,0.5,0.3409090909090909,0.5,0.4054054054054054,0.0,0.6818181818181818
cloud,cloud,experiment_2,linear,robust_hybrid,New 1 - robust_hybrid,ok,,108,8,2,1,accuracy,0.7222222222222222,paper,0.7222222222222222,P,robust_hybrid,binary_tree,100.0,scale,3,0.0,42,16,26,7,44,45,0,0.1093751000007614,0.5472593000013148,0.7647058823529411,0.6,0.875,0.6,0.5952380952380952,0.3333333333333333,0.6363636363636364,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.3888888888888889,0.0,0.6363636363636364
cloud,cloud,experiment_2,linear,user_formula_1,New 2 - user_formula_1,ok,,108,8,2,1,accuracy,0.7222222222222222,paper,0.7222222222222222,P,user_formula_1,binary_tree,1.0,scale,3,0.0,35,11,33,8,54,65,1,0.0737609999923734,0.4417875000071944,0.7352941176470589,0.5791666666666667,0.7043010752688172,0.5791666666666667,0.572027972027972,0.3076923076923077,0.6363636363636364,0.5047619047619047,0.5087719298245614,0.5047619047619047,0.4823529411764705,0.2,0.6363636363636364
cloud,cloud,experiment_2,linear,user_formula_2,New 3 - user_formula_2,ok,,108,8,2,1,accuracy,0.7222222222222222,paper,0.7222222222222222,P,user_formula_2,binary_tree,1.0,scale,3,0.0,35,11,33,8,54,65,1,0.0755336000001989,0.4237060000014025,0.7352941176470589,0.5791666666666667,0.7043010752688172,0.5791666666666667,0.572027972027972,0.3076923076923077,0.6363636363636364,0.5047619047619047,0.5087719298245614,0.5047619047619047,0.4823529411764705,0.2,0.6363636363636364
cloud,cloud,experiment_2,poly,author_original,Author original BSVM,ok,,108,8,2,1,accuracy,0.8333333333333334,paper,0.8333333333333334,P,author_original,sequential,100.0,scale,4,0.0,50,17,18,26,60,61,0,0.0741071000084048,3.06128290000197,0.8529411764705882,0.75,0.9137931034482758,0.75,0.7861635220125787,0.6666666666666666,0.6363636363636364,0.5428571428571429,0.5529411764705883,0.5428571428571429,0.5416666666666666,0.3333333333333333,0.6363636363636364
cloud,cloud,experiment_2,poly,robust_hybrid,New 1 - robust_hybrid,ok,,108,8,2,1,accuracy,0.7777777777777778,paper,0.7777777777777778,P,robust_hybrid,binary_tree,1.0,scale,3,1.0,47,11,21,20,46,47,0,0.0498422000091522,2.50434139999561,0.7647058823529411,0.6583333333333333,0.7261904761904762,0.6583333333333333,0.6730769230769231,0.5,0.6818181818181818,0.6142857142857143,0.625,0.6142857142857143,0.6178660049627791,0.4615384615384615,0.6818181818181818
cloud,cloud,experiment_2,poly,user_formula_1,New 2 - user_formula_1,ok,,108,8,2,1,accuracy,0.7777777777777778,paper,0.7777777777777778,P,user_formula_1,binary_tree,1.0,scale,3,1.0,47,11,21,15,38,39,0,0.0500112000008812,2.5798161000129767,0.7647058823529411,0.6,0.875,0.6,0.5952380952380952,0.3333333333333333,0.6818181818181818,0.5761904761904761,0.6111111111111112,0.5761904761904761,0.5757575757575757,0.3636363636363636,0.6818181818181818
cloud,cloud,experiment_2,poly,user_formula_2,New 3 - user_formula_2,ok,,108,8,2,1,accuracy,0.7777777777777778,paper,0.7777777777777778,P,user_formula_2,binary_tree,1.0,scale,3,1.0,47,11,21,15,38,39,0,0.0497264000005088,2.6384096999972826,0.7647058823529411,0.6,0.875,0.6,0.5952380952380952,0.3333333333333333,0.6818181818181818,0.5761904761904761,0.6111111111111112,0.5761904761904761,0.5757575757575757,0.3636363636363636,0.6818181818181818
cloud,cloud,experiment_2,sigmoid,author_original,Author original BSVM,ok,,108,8,2,1,accuracy,0.7777777777777778,paper,0.7777777777777778,P,author_original,sequential,0.1,0.001,3,0.5,2,0,66,2,66,92,1,0.1256162999925436,4.139392600001884,0.6029411764705882,0.4854166666666667,0.4823899371069182,0.4854166666666667,0.4806223479490806,0.2285714285714285,0.6818181818181818,0.5380952380952381,0.6,0.5380952380952381,0.5111111111111111,0.2222222222222222,0.6818181818181818
cloud,cloud,experiment_2,sigmoid,robust_hybrid,New 1 - robust_hybrid,ok,,108,8,2,1,accuracy,0.7777777777777778,paper,0.7777777777777778,P,robust_hybrid,binary_tree,10.0,0.1,3,0.5,13,0,55,4,56,79,1,0.0686653000011574,6.44591369999398,0.6323529411764706,0.50625,0.5083916083916085,0.50625,0.4998528979111503,0.2424242424242424,0.6363636363636364,0.5047619047619047,0.5087719298245614,0.5047619047619047,0.4823529411764705,0.2,0.6363636363636364
