variant,algorithm,comparisons,objective_mean_delta,objective_wins,objective_ties,objective_losses,support_vectors_mean_delta,fewer_support_vectors,model_fits_mean_delta
robust_hybrid,New 1 - robust_hybrid,6,-0.016060606060606053,3,0,3,1.1666666666666667,2,-486.3333333333333
user_formula_1,New 2 - user_formula_1,6,-0.01772727272727272,2,0,4,-68.66666666666667,3,-517.3333333333334
user_formula_2,New 3 - user_formula_2,6,-0.013484848484848488,2,1,3,4.333333333333333,2,-442.6666666666667
