dataset,paper_group,kernel,variant,algorithm,objective_test_delta,accuracy_test_delta,balanced_accuracy_test_delta,f1_macro_test_delta,minority_f1_test_delta,support_vectors_delta,model_fits_delta,elapsed_tuning_seconds_delta
fruitfly,experiment_1,linear,robust_hybrid,New 1 - robust_hybrid,0.09999999999999998,0.0,0.028571428571428525,0.01428571428571429,0.09999999999999998,-3,-1,2.300290099999984
fruitfly,experiment_1,linear,user_formula_1,New 2 - user_formula_1,0.09999999999999998,0.0,0.028571428571428525,0.01428571428571429,0.09999999999999998,-5,-12,0.09984439999971073
fruitfly,experiment_1,linear,user_formula_2,New 3 - user_formula_2,0.0,0.0,0.0,0.0,0.0,-6,-10,0.016761299999416224
