variant,algorithm,comparisons,objective_mean_delta,objective_wins,objective_ties,objective_losses,support_vectors_mean_delta,fewer_support_vectors,model_fits_mean_delta
robust_hybrid,New 1 - robust_hybrid,1,0.09999999999999998,1,0,0,-3.0,1,-1.0
user_formula_1,New 2 - user_formula_1,1,0.09999999999999998,1,0,0,-5.0,1,-12.0
user_formula_2,New 3 - user_formula_2,1,0.0,0,1,0,-6.0,1,-10.0
