dataset,paper_name,paper_group,kernel,variant,algorithm,status,error,n_samples,n_features,n_classes,binary_problems,validation_metric,validation_score,selection_objective,selection_utility,minority_label,priority_strategy,insertion_strategy,best_C,best_gamma,best_degree,best_coef0,selected_total,accepted_candidates,rejected_candidates,support_vectors,batch_attempts,model_fits,initial_core_repairs,fit_time_seconds,elapsed_tuning_seconds,accuracy_train,balanced_accuracy_train,precision_macro_train,recall_macro_train,f1_macro_train,minority_f1_train,accuracy_test,balanced_accuracy_test,precision_macro_test,recall_macro_test,f1_macro_test,minority_f1_test,objective_test
fruitfly,fruitfly,experiment_1,linear,author_original,Author original BSVM,ok,,60,4,2,1,minority_f1,0.4444444444444444,performance_sv,0.4299707602339181,N,author_original,sequential,1.0,scale,3,0.0,24,9,14,11,34,35,0,0.08386119999886432,0.14421260000017355,0.7894736842105263,0.7681159420289855,0.7846153846153847,0.7681159420289855,0.7738095238095238,0.7142857142857143,0.5,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.4,0.4
fruitfly,fruitfly,experiment_1,linear,robust_hybrid,New 1 - robust_hybrid,ok,,60,4,2,1,minority_f1,0.6,performance_sv,0.5894736842105263,N,robust_hybrid,binary_tree,1.0,scale,3,0.0,26,11,12,8,33,34,0,2.3493696999994427,2.4445027000001573,0.7105263157894737,0.691304347826087,0.6964285714285714,0.691304347826087,0.6933235509904623,0.6206896551724138,0.5,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5,0.5,0.5
fruitfly,fruitfly,experiment_1,linear,user_formula_1,New 2 - user_formula_1,ok,,60,4,2,1,minority_f1,0.6,performance_sv,0.5921052631578947,N,user_formula_1,binary_tree,10.0,scale,3,0.0,28,10,10,6,22,23,0,0.10262619999957678,0.24405699999988428,0.7631578947368421,0.7579710144927536,0.7528409090909092,0.7579710144927536,0.7548387096774194,0.7096774193548387,0.5,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5,0.5,0.5
fruitfly,fruitfly,experiment_1,linear,user_formula_2,New 3 - user_formula_2,ok,,60,4,2,1,minority_f1,0.2857142857142857,performance_sv,0.2791353383458646,N,user_formula_2,binary_tree,10.0,scale,3,0.0,28,10,10,5,24,25,0,0.06976719999875058,0.16097389999958978,0.7631578947368421,0.7231884057971014,0.775,0.7231884057971014,0.7317647058823529,0.64,0.5,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.4,0.4
